read_name	gene_name	./inst/extdata/mapping2apd bam	./inst/extdata/mapping2cox.bam	./inst/extdata/mapping2dbb.bam	./inst/extdata/mapping2mann.bam	./inst/extdata/mapping2mcf.bam	./inst/extdata/mapping2pgf.bam	./inst/extdata/mapping2qbl.bam	./inst/extdata/mapping2ssto.bam
WTCHG_18627:2:101:17715:2741	HLA-A	2	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:101:17758:17616	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:101:17988:5796	HLA-A	1	1	1	2	1	2	3	2
WTCHG_18627:2:101:18325:4786	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:18451:13612	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:18629:2323	HLA-A	0	0	NA	1	NA	2	1	NA
WTCHG_18627:2:101:18671:9737	HLA-A	0	0	1	3	1	0	NA	NA
WTCHG_18627:2:101:18700:20010	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:18790:12231	HLA-A	2	2	NA	NA	NA	NA	3	NA
WTCHG_18627:2:101:18791:2916	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:18808:7647	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:18865:7003	HLA-A	NA	NA	4	NA	NA	1	NA	NA
WTCHG_18627:2:101:19240:9085	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:101:19407:5006	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:101:19529:16449	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:19592:6493	HLA-A	2	2	2	NA	2	1	NA	NA
WTCHG_18627:2:101:2133:9724	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:101:2202:17368	HLA-A	2	2	NA	NA	NA	NA	2	NA
WTCHG_18627:2:101:2258:10458	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:2314:13945	HLA-A	NA	NA	NA	4	NA	1	NA	4
WTCHG_18627:2:101:2363:17184	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:2387:15157	HLA-A	NA	NA	NA	NA	1	NA	NA	NA
WTCHG_18627:2:101:2429:8394	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:2448:8123	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:2475:13007	HLA-A	1	1	1	3	1	1	NA	3
WTCHG_18627:2:101:2478:8977	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:101:2492:9544	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:2665:18535	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:101:3185:17004	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:101:3389:3213	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:3419:12440	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:3427:13211	HLA-A	0	0	2	2	2	0	2	2
WTCHG_18627:2:101:3529:10607	HLA-A	1	1	1	3	1	0	2	1
WTCHG_18627:2:101:3671:15346	HLA-A	2	2	3	3	3	1	2	2
WTCHG_18627:2:101:3786:5896	HLA-A	NA	NA	NA	NA	NA	NA	0	NA
WTCHG_18627:2:101:3808:19451	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:101:3959:4476	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:3960:3595	HLA-A	2	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:3973:11684	HLA-A	2	2	3	NA	3	2	NA	NA
WTCHG_18627:2:101:4110:11459	HLA-A	NA	NA	NA	NA	NA	NA	2	NA
WTCHG_18627:2:101:4168:14458	HLA-A	0	0	2	NA	2	0	2	NA
WTCHG_18627:2:101:4260:13896	HLA-A	NA	NA	NA	NA	NA	NA	NA	3
WTCHG_18627:2:101:4276:7682	HLA-A	NA	NA	NA	NA	NA	1	NA	4
WTCHG_18627:2:101:4339:15354	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:4389:10311	HLA-A	0	0	2	2	2	0	2	2
WTCHG_18627:2:101:4396:15040	HLA-A	0	0	NA	3	NA	1	3	2
WTCHG_18627:2:101:4495:3033	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:4757:6895	HLA-A	2	2	3	3	3	0	3	NA
WTCHG_18627:2:101:5008:4802	HLA-A	NA	NA	1	2	NA	0	2	2
WTCHG_18627:2:101:5213:4800	HLA-A	2	2	3	NA	3	2	3	NA
WTCHG_18627:2:101:5279:6254	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:5559:10196	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:5636:1288	HLA-A	0	0	4	NA	NA	0	NA	NA
WTCHG_18627:2:101:5651:14037	HLA-A	0	0	2	3	NA	0	3	3
WTCHG_18627:2:101:5663:9207	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:101:5695:6327	HLA-A	0	0	3	2	3	0	2	2
WTCHG_18627:2:101:5836:10654	HLA-A	1	1	1	3	1	1	4	3
WTCHG_18627:2:101:5840:8909	HLA-A	0	0	NA	1	NA	1	1	0
WTCHG_18627:2:101:5859:7268	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:5990:19186	HLA-A	1	1	NA	NA	NA	3	NA	3
WTCHG_18627:2:101:6020:5548	HLA-A	NA	NA	NA	NA	NA	0	NA	3
WTCHG_18627:2:101:6104:5208	HLA-A	1	1	1	2	1	0	2	2
WTCHG_18627:2:101:6172:14401	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:101:6549:4683	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:6594:3849	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:6692:18440	HLA-A	1	1	NA	NA	NA	NA	NA	4
WTCHG_18627:2:101:6803:11122	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:6883:11593	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:6976:5479	HLA-A	0	0	0	0	0	2	1	0
WTCHG_18627:2:101:6989:5355	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:7033:10031	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:7097:18433	HLA-A	1	1	NA	NA	NA	3	NA	3
WTCHG_18627:2:101:7229:4058	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:101:7296:13762	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:7423:17294	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:7440:17259	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:7555:20566	HLA-A	0	0	NA	NA	NA	1	NA	2
WTCHG_18627:2:101:7592:3908	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:7636:4459	HLA-A	0	0	NA	1	NA	2	1	NA
WTCHG_18627:2:101:7654:13003	HLA-A	0	0	NA	2	NA	2	1	NA
WTCHG_18627:2:101:7708:2273	HLA-A	0	0	NA	2	NA	NA	1	NA
WTCHG_18627:2:101:7842:6839	HLA-A	0	0	NA	2	NA	NA	1	NA
WTCHG_18627:2:101:7988:4243	HLA-A	0	0	3	NA	3	0	2	NA
WTCHG_18627:2:101:8060:5644	HLA-A	0	0	NA	NA	NA	NA	1	NA
WTCHG_18627:2:101:8120:17324	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:8278:13263	HLA-A	1	1	1	2	1	1	NA	2
WTCHG_18627:2:101:8325:4458	HLA-A	NA	NA	2	2	NA	1	2	2
WTCHG_18627:2:101:8343:19836	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:8440:12839	HLA-A	NA	NA	NA	NA	NA	1	NA	4
WTCHG_18627:2:101:8486:2608	HLA-A	1	1	3	NA	NA	1	NA	NA
WTCHG_18627:2:101:8663:8103	HLA-A	NA	NA	1	2	NA	0	2	2
WTCHG_18627:2:101:8677:8118	HLA-A	NA	NA	1	2	NA	0	2	2
WTCHG_18627:2:101:8723:13169	HLA-A	1	1	NA	2	NA	0	NA	3
WTCHG_18627:2:101:8812:10603	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:8965:11474	HLA-A	1	1	4	NA	4	2	NA	NA
WTCHG_18627:2:101:8981:2724	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:101:9129:10671	HLA-A	NA	NA	3	4	4	1	NA	NA
WTCHG_18627:2:101:9186:19354	HLA-A	NA	NA	NA	NA	1	NA	NA	NA
WTCHG_18627:2:101:9221:1105	HLA-A	0	0	NA	2	NA	NA	0	NA
WTCHG_18627:2:101:9294:7375	HLA-A	2	2	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:9357:13799	HLA-A	0	0	NA	NA	NA	NA	2	NA
WTCHG_18627:2:101:9703:8356	HLA-A	0	0	2	3	2	0	2	NA
WTCHG_18627:2:101:9801:8953	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:9867:3227	HLA-A	1	1	1	2	1	2	3	2
WTCHG_18627:2:101:9919:11536	HLA-A	1	1	NA	3	NA	1	NA	2
WTCHG_18627:2:102:10275:10683	HLA-A	3	3	NA	4	NA	1	4	NA
WTCHG_18627:2:102:10320:14632	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:10418:18252	HLA-A	1	1	NA	3	NA	0	NA	1
WTCHG_18627:2:102:10555:20158	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:102:10756:14569	HLA-A	0	NA	NA	1	NA	NA	1	1
WTCHG_18627:2:102:10763:5115	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:102:10770:5621	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:102:10786:18899	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:102:10840:13795	HLA-A	NA	NA	NA	3	4	0	NA	NA
WTCHG_18627:2:102:11131:15602	HLA-A	0	0	0	0	0	0	0	0
WTCHG_18627:2:102:11144:17660	HLA-A	1	1	1	1	1	0	1	1
WTCHG_18627:2:102:11248:7531	HLA-A	3	3	NA	NA	NA	3	NA	NA
WTCHG_18627:2:102:11290:14756	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:102:11320:3440	HLA-A	0	0	NA	NA	NA	4	NA	NA
WTCHG_18627:2:102:11404:21361	HLA-A	NA	NA	2	3	NA	1	3	3
WTCHG_18627:2:102:11405:11351	HLA-A	0	0	2	NA	NA	0	NA	NA
WTCHG_18627:2:102:11425:20815	HLA-A	1	1	2	2	2	0	2	2
WTCHG_18627:2:102:11506:7429	HLA-A	2	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:102:11536:9970	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:11617:11879	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:102:11802:13818	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:102:1182:9362	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:102:11948:14700	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:102:1207:6680	HLA-A	0	0	NA	NA	NA	3	3	4
WTCHG_18627:2:102:12100:1582	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:102:1213:18082	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:102:12297:1786	HLA-A	0	0	3	NA	NA	0	NA	NA
WTCHG_18627:2:102:12350:17774	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:102:12506:18755	HLA-A	1	1	3	NA	3	1	3	NA
WTCHG_18627:2:102:12523:19906	HLA-A	0	0	1	NA	1	0	NA	NA
WTCHG_18627:2:102:12667:17325	HLA-A	1	1	NA	NA	NA	NA	2	NA
WTCHG_18627:2:102:12889:12102	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:102:12998:5686	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:13046:7065	HLA-A	1	1	1	2	1	0	3	2
WTCHG_18627:2:102:13078:21379	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:13170:6702	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:102:13184:18094	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:102:13248:6135	HLA-A	1	1	2	1	2	1	1	1
WTCHG_18627:2:102:13630:19709	HLA-A	0	0	NA	1	1	0	NA	1
WTCHG_18627:2:102:13778:2867	HLA-A	0	0	NA	NA	NA	3	4	NA
WTCHG_18627:2:102:13901:10179	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:13905:8194	HLA-A	NA	NA	NA	NA	NA	NA	NA	2
WTCHG_18627:2:102:14012:1301	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:102:1413:13213	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:102:14235:11677	HLA-A	0	0	2	1	2	0	NA	1
WTCHG_18627:2:102:14250:18074	HLA-A	NA	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:102:14355:8680	HLA-A	0	0	NA	NA	NA	NA	1	NA
WTCHG_18627:2:102:14358:5073	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:102:14486:9213	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:102:1458:15784	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:102:14650:11412	HLA-A	NA	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:14718:15033	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:102:14791:12848	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:102:14921:13430	HLA-A	0	NA	NA	1	NA	NA	1	1
WTCHG_18627:2:102:14925:9311	HLA-A	NA	NA	NA	2	NA	NA	2	NA
WTCHG_18627:2:102:14969:3420	HLA-A	1	1	1	2	1	2	3	2
WTCHG_18627:2:102:15040:6859	HLA-A	1	1	0	1	0	0	1	1
WTCHG_18627:2:102:15064:9971	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:102:15404:16507	HLA-A	0	0	NA	NA	NA	1	NA	1
WTCHG_18627:2:102:15487:14702	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:102:15848:21143	HLA-A	NA	NA	NA	NA	NA	NA	4	NA
WTCHG_18627:2:102:16026:13433	HLA-A	1	1	1	NA	1	2	NA	NA
WTCHG_18627:2:102:16038:3428	HLA-A	1	1	1	2	1	1	2	2
WTCHG_18627:2:102:16291:19675	HLA-A	0	0	NA	1	NA	2	1	NA
WTCHG_18627:2:102:16438:7781	HLA-A	1	1	NA	NA	NA	2	NA	NA
WTCHG_18627:2:102:16519:9852	HLA-A	2	2	3	NA	3	2	3	NA
WTCHG_18627:2:102:16550:5979	HLA-A	0	0	NA	1	NA	2	0	NA
WTCHG_18627:2:102:16634:12632	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:102:16733:7808	HLA-A	NA	NA	NA	4	NA	NA	NA	NA
WTCHG_18627:2:102:16736:12282	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:102:16784:16484	HLA-A	3	3	4	NA	4	3	4	NA
WTCHG_18627:2:102:16975:19315	HLA-A	0	0	2	3	2	0	2	3
WTCHG_18627:2:102:1699:16361	HLA-A	2	2	NA	NA	NA	3	4	NA
WTCHG_18627:2:102:17051:18084	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:102:17082:15895	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:102:17084:19408	HLA-A	2	2	2	2	2	0	2	NA
WTCHG_18627:2:102:17171:20250	HLA-A	0	NA	NA	4	NA	1	NA	2
WTCHG_18627:2:102:17194:4139	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:102:1722:7107	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:102:17294:14054	HLA-A	0	0	1	NA	1	0	2	NA
WTCHG_18627:2:102:17364:17524	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:102:17510:20010	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:102:17545:8507	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:102:17579:19648	HLA-A	NA	NA	1	NA	NA	0	NA	NA
WTCHG_18627:2:102:17699:9044	HLA-A	3	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:102:17744:20712	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:102:17855:14042	HLA-A	NA	NA	NA	NA	NA	NA	0	NA
WTCHG_18627:2:102:17859:9072	HLA-A	1	1	NA	3	NA	NA	2	NA
WTCHG_18627:2:100:10056:9061	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:1018:19862	HLA-B	NA	2	NA	3	4	1	4	3
WTCHG_18627:2:100:10235:6702	HLA-B	NA	0	NA	NA	3	0	3	NA
WTCHG_18627:2:100:10252:13693	HLA-B	NA	0	NA	2	2	2	NA	2
WTCHG_18627:2:100:10307:2223	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:10350:17909	HLA-B	NA	1	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:10371:10536	HLA-B	NA	0	NA	NA	4	NA	NA	NA
WTCHG_18627:2:100:10527:2995	HLA-B	NA	1	NA	2	3	1	3	2
WTCHG_18627:2:100:10607:1684	HLA-B	NA	1	NA	1	1	0	1	1
WTCHG_18627:2:100:10692:18373	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:10704:10721	HLA-B	NA	1	NA	NA	2	1	NA	NA
WTCHG_18627:2:100:10725:13023	HLA-B	NA	0	NA	2	1	0	NA	2
WTCHG_18627:2:100:10728:14935	HLA-B	NA	0	NA	1	2	0	2	1
WTCHG_18627:2:100:10789:12338	HLA-B	NA	0	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:10792:13891	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:10925:15484	HLA-B	NA	1	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:10942:2636	HLA-B	NA	0	NA	NA	2	NA	NA	NA
WTCHG_18627:2:100:10964:12247	HLA-B	NA	1	NA	2	3	1	3	2
WTCHG_18627:2:100:10971:9552	HLA-B	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:11019:4649	HLA-B	NA	2	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:11113:5754	HLA-B	NA	0	NA	2	1	0	NA	2
WTCHG_18627:2:100:11129:9239	HLA-B	NA	0	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:11296:13286	HLA-B	NA	0	NA	1	2	1	2	1
WTCHG_18627:2:100:11429:17968	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:11549:10482	HLA-B	NA	0	NA	2	2	0	0	2
WTCHG_18627:2:100:11617:2380	HLA-B	NA	0	NA	1	2	0	2	1
WTCHG_18627:2:100:11622:5111	HLA-B	NA	1	NA	2	3	1	3	2
WTCHG_18627:2:100:11720:8538	HLA-B	NA	1	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:11723:7867	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:11986:20343	HLA-B	NA	1	NA	1	2	2	2	1
WTCHG_18627:2:100:12030:1176	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:12071:8806	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:12749:12725	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:12805:8238	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:12854:2273	HLA-B	NA	1	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:12971:9383	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:13137:12199	HLA-B	NA	0	NA	0	1	NA	1	0
WTCHG_18627:2:100:13282:12969	HLA-B	NA	3	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:13475:6199	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:13618:18343	HLA-B	NA	0	NA	NA	1	1	NA	NA
WTCHG_18627:2:100:13911:14303	HLA-B	NA	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:1393:5360	HLA-B	NA	1	NA	NA	3	1	3	NA
WTCHG_18627:2:100:13967:17431	HLA-B	NA	0	NA	NA	1	1	NA	NA
WTCHG_18627:2:100:14078:6119	HLA-B	NA	2	NA	3	NA	1	NA	3
WTCHG_18627:2:100:14104:5353	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:14168:13732	HLA-B	NA	1	NA	NA	2	1	NA	NA
WTCHG_18627:2:100:14214:15915	HLA-B	NA	1	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:14424:16463	HLA-B	NA	2	NA	NA	3	2	NA	NA
WTCHG_18627:2:100:14455:4671	HLA-B	NA	0	NA	2	1	0	NA	2
WTCHG_18627:2:100:1478:17356	HLA-B	NA	0	NA	0	1	1	NA	0
WTCHG_18627:2:100:1479:10223	HLA-B	NA	1	NA	2	3	0	3	2
WTCHG_18627:2:100:14809:4209	HLA-B	NA	1	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:14885:8070	HLA-B	NA	0	NA	NA	1	NA	NA	NA
WTCHG_18627:2:100:14937:18151	HLA-B	NA	1	NA	NA	3	1	NA	NA
WTCHG_18627:2:100:15022:18105	HLA-B	NA	1	NA	NA	2	1	NA	NA
WTCHG_18627:2:100:15073:16210	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:15107:10160	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:15138:3543	HLA-B	NA	0	NA	1	2	1	2	1
WTCHG_18627:2:100:1552:19714	HLA-B	NA	0	NA	NA	1	0	1	NA
WTCHG_18627:2:100:15547:20884	HLA-B	NA	2	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:15595:12119	HLA-B	NA	2	NA	NA	NA	4	NA	NA
WTCHG_18627:2:100:15741:16030	HLA-B	NA	1	NA	3	3	3	NA	3
WTCHG_18627:2:100:15965:12283	HLA-B	NA	0	NA	0	1	1	1	0
WTCHG_18627:2:100:16134:11410	HLA-B	NA	1	NA	2	3	2	3	2
WTCHG_18627:2:100:16281:11874	HLA-B	NA	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:16317:19247	HLA-B	NA	0	NA	1	2	0	2	1
WTCHG_18627:2:100:16323:17082	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:16436:1655	HLA-B	NA	1	NA	2	2	1	NA	2
WTCHG_18627:2:100:16460:5420	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:16468:20952	HLA-B	NA	0	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:1658:20799	HLA-B	NA	1	NA	NA	2	1	NA	NA
WTCHG_18627:2:100:1672:16680	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:16806:18447	HLA-B	NA	2	NA	2	2	1	2	2
WTCHG_18627:2:100:16828:6852	HLA-B	NA	2	NA	3	4	1	4	3
WTCHG_18627:2:100:17020:8967	HLA-B	NA	0	NA	NA	2	0	2	NA
WTCHG_18627:2:100:17049:8736	HLA-B	NA	1	NA	1	2	0	2	1
WTCHG_18627:2:100:17185:5613	HLA-B	NA	2	NA	3	2	0	2	3
WTCHG_18627:2:100:17246:1863	HLA-B	NA	0	NA	2	2	0	1	2
WTCHG_18627:2:100:17367:9122	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:1738:17916	HLA-B	NA	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:17486:12283	HLA-B	NA	0	NA	1	1	0	1	1
WTCHG_18627:2:100:17504:9213	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:17518:18628	HLA-B	NA	0	NA	0	1	0	1	0
WTCHG_18627:2:100:17616:2275	HLA-B	NA	1	NA	1	2	0	2	1
WTCHG_18627:2:100:17656:12392	HLA-B	NA	2	NA	2	3	0	3	2
WTCHG_18627:2:100:17741:10772	HLA-B	NA	0	NA	NA	3	2	3	NA
WTCHG_18627:2:100:18174:13652	HLA-B	NA	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:18421:10680	HLA-B	NA	0	NA	0	1	NA	1	0
WTCHG_18627:2:100:18461:11099	HLA-B	NA	1	NA	2	3	1	3	2
WTCHG_18627:2:100:18471:14234	HLA-B	NA	0	NA	NA	1	0	1	NA
WTCHG_18627:2:100:18608:20278	HLA-B	NA	0	NA	2	2	0	0	2
WTCHG_18627:2:100:18669:1966	HLA-B	NA	1	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:18692:9719	HLA-B	NA	0	NA	3	2	1	2	3
WTCHG_18627:2:100:18698:4408	HLA-B	NA	0	NA	0	1	1	1	0
WTCHG_18627:2:100:18976:16754	HLA-B	NA	0	NA	NA	1	1	NA	NA
WTCHG_18627:2:100:19069:13963	HLA-B	NA	0	NA	3	3	2	NA	3
WTCHG_18627:2:100:19308:11932	HLA-B	NA	0	NA	1	2	1	2	1
WTCHG_18627:2:100:19678:13792	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:2094:19529	HLA-B	NA	0	NA	NA	4	3	NA	NA
WTCHG_18627:2:100:2134:18806	HLA-B	NA	0	NA	NA	2	0	NA	NA
WTCHG_18627:2:100:2299:16516	HLA-B	NA	0	NA	NA	2	NA	NA	NA
WTCHG_18627:2:100:2449:2954	HLA-B	NA	0	NA	NA	3	0	3	NA
WTCHG_18627:2:100:2753:20625	HLA-B	NA	2	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:2844:4910	HLA-B	NA	2	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:2948:11084	HLA-B	NA	2	NA	3	4	1	4	3
WTCHG_18627:2:100:2965:12015	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:3019:3097	HLA-B	NA	0	NA	NA	3	0	3	NA
WTCHG_18627:2:100:3078:2054	HLA-B	NA	1	NA	2	3	0	3	2
WTCHG_18627:2:100:3132:17325	HLA-B	NA	2	NA	4	NA	2	NA	4
WTCHG_18627:2:100:3142:1802	HLA-B	NA	2	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:3284:10051	HLA-B	NA	3	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:3397:6719	HLA-B	NA	1	NA	2	3	1	3	2
WTCHG_18627:2:100:3462:8517	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:3542:9057	HLA-B	NA	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:3589:17941	HLA-B	NA	0	NA	1	1	1	1	1
WTCHG_18627:2:100:3647:5479	HLA-B	NA	0	NA	NA	NA	NA	NA	NA
